# delta=  0.6000E+00
#D           4*PI*D**2*PHI
   0.0000E+00   0.0000E+00
   0.1000E+00   0.1321E+00
   0.2000E+00   0.3665E+00
   0.3000E+00   0.5894E+00
   0.4000E+00   0.7734E+00
   0.5000E+00   0.9078E+00
   0.6000E+00   0.9916E+00
   0.7000E+00   0.1029E+01
   0.8000E+00   0.1026E+01
   0.9000E+00   0.9913E+00
   0.1000E+01   0.9318E+00
   0.1100E+01   0.8549E+00
   0.1200E+01   0.7667E+00
   0.1300E+01   0.6727E+00
   0.1400E+01   0.5770E+00
   0.1500E+01   0.4829E+00
   0.1600E+01   0.3927E+00
   0.1700E+01   0.3080E+00
   0.1800E+01   0.2300E+00
   0.1900E+01   0.1591E+00
   0.2000E+01   0.9549E-01
   0.2100E+01   0.3905E-01
   0.2200E+01  -0.1052E-01
   0.2300E+01  -0.5366E-01
   0.2400E+01  -0.9087E-01
   0.2500E+01  -0.1227E+00
   0.2600E+01  -0.1497E+00
   0.2700E+01  -0.1723E+00
   0.2800E+01  -0.1912E+00
   0.2900E+01  -0.2066E+00
   0.3000E+01  -0.2192E+00
   0.3100E+01  -0.2291E+00
   0.3200E+01  -0.2369E+00
   0.3300E+01  -0.2427E+00
   0.3400E+01  -0.2468E+00
   0.3500E+01  -0.2495E+00
   0.3600E+01  -0.2509E+00
   0.3700E+01  -0.2513E+00
   0.3800E+01  -0.2507E+00
   0.3900E+01  -0.2494E+00
   0.4000E+01  -0.2474E+00
   0.4100E+01  -0.2448E+00
   0.4200E+01  -0.2417E+00
   0.4300E+01  -0.2382E+00
   0.4400E+01  -0.2344E+00
   0.4500E+01  -0.2303E+00
   0.4600E+01  -0.2259E+00
   0.4700E+01  -0.2214E+00
   0.4800E+01  -0.2167E+00
   0.4900E+01  -0.2118E+00
   0.5000E+01  -0.2069E+00
   0.5100E+01  -0.2019E+00
   0.5200E+01  -0.1969E+00
   0.5300E+01  -0.1918E+00
   0.5400E+01  -0.1867E+00
   0.5500E+01  -0.1817E+00
   0.5600E+01  -0.1767E+00
   0.5700E+01  -0.1717E+00
   0.5800E+01  -0.1667E+00
   0.5900E+01  -0.1618E+00
   0.6000E+01  -0.1570E+00
   0.6100E+01  -0.1522E+00
   0.6200E+01  -0.1475E+00
   0.6300E+01  -0.1429E+00
   0.6400E+01  -0.1384E+00
   0.6500E+01  -0.1340E+00
   0.6600E+01  -0.1296E+00
   0.6700E+01  -0.1254E+00
   0.6800E+01  -0.1213E+00
   0.6900E+01  -0.1172E+00
   0.7000E+01  -0.1133E+00
   0.7100E+01  -0.1094E+00
   0.7200E+01  -0.1057E+00
   0.7300E+01  -0.1021E+00
   0.7400E+01  -0.9853E-01
   0.7500E+01  -0.9510E-01
   0.7600E+01  -0.9177E-01
   0.7700E+01  -0.8854E-01
   0.7800E+01  -0.8540E-01
   0.7900E+01  -0.8237E-01
   0.8000E+01  -0.7943E-01
   0.8100E+01  -0.7658E-01
   0.8200E+01  -0.7382E-01
   0.8300E+01  -0.7116E-01
   0.8400E+01  -0.6859E-01
   0.8500E+01  -0.6610E-01
   0.8600E+01  -0.6369E-01
   0.8700E+01  -0.6137E-01
   0.8800E+01  -0.5913E-01
   0.8900E+01  -0.5697E-01
   0.9000E+01  -0.5489E-01
   0.9100E+01  -0.5288E-01
   0.9200E+01  -0.5095E-01
   0.9300E+01  -0.4908E-01
   0.9400E+01  -0.4728E-01
   0.9500E+01  -0.4555E-01
   0.9600E+01  -0.4389E-01
   0.9700E+01  -0.4228E-01
   0.9800E+01  -0.4074E-01
   0.9900E+01  -0.3925E-01
   0.1000E+02  -0.3783E-01



